model,result,correct_patient,correct_medi_profs
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings",1,0
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley, Dr. Amanda Lewis",1,0
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Carla Jennings",1,1
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings",1,1
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings",1,0
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings",1,0
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley, Dr. Amanda Lewis",1,0
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Carla Jennings",1,1
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings",1,1
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings",1,0
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings",1,0
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Dr. Amanda Lewis (also husband's wife) , Nurse Tom Bradley",1,0
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Nurse Tom Bradley, Dr. Carla Jennings",1,1
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings",1,1
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings",1,0
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings",1,0
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley",1,1
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Carla Jennings",1,1
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Nurse Tom Bradley, Dr. Carla Jennings",1,1
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings",1,0
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings",1,0
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley",1,1
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Nurse Tom Bradley, Dr. Carla Jennings",1,1
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings",1,1
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings",1,0
gemma3:12b,"Patient: Michael Lewis
Medical Professional(s): Amanda Lewis, Tom Bradley, Carla Jennings",1,0
llama3.1:8b,"Patient: Michael Lewis
Medical Professional(s): Dr. Carla Jennings, Nurse Tom Bradley, Dr. Amanda Lewis",1,0
gemini2.5-flash,"Patient: Michael Lewis
Medical Professional(s): Nurse Tom Bradley, Dr. Carla Jennings",1,1
claude-opus-4-20250514,"Patient: Michael Lewis
Medical Professional(s): Tom Bradley, Dr. Carla Jennings",1,1
gpt-4.1,"Patient: Michael Lewis
Medical Professional(s): Dr Amanda Lewis, Nurse Tom Bradley, Dr Carla Jennings",1,0
